Store,weight,val_rmspe
74,0.993,0.12917348018748825
75,1.0,0.10099507507540612
76,0.994,0.1506085076487948
77,0.997,0.11158792812333243
78,0.996,0.10951346193464
79,0.999,0.10485127445403047
80,0.998,0.10633459979523333
81,1.0,0.0991834813012214
82,0.997,0.09635009212713919
83,0.991,0.11899821454212849
84,1.0,0.09356653087312802
85,1.0,0.08771938019893316
86,0.988,0.15950448011051796
87,0.999,0.09452989739163718
88,0.999,0.09686994929477104
89,0.998,0.09268394311434551
90,0.997,0.12973551809833608
91,0.992,0.11912106914165826
92,0.994,0.10811388126513832
93,0.996,0.10584436391698257
94,1.0,0.08903884368076873
95,0.999,0.08759679708910427
96,0.999,0.1157637403986576
97,0.998,0.1202255604888698
98,1.001,0.10044018791129306
99,0.995,0.1130144623727269
100,0.984,0.11564865753849016
101,0.998,0.11061895118105762
102,0.992,0.16158240634898416
103,0.996,0.0975103930358861
104,1.002,0.08492716312849612
105,0.994,0.11000424549054823
106,1.005,0.08615160615432851
107,1.002,0.08878454523001066
108,0.998,0.09955577105478707
109,1.0,0.08728509527319281
110,0.996,0.11738772192471501
111,0.997,0.09611518339507799
112,1.002,0.11323232922560623
113,0.992,0.12877938194546606
114,0.995,0.11485002064503612
115,0.998,0.1005324693813928
116,0.999,0.08169788056747226
117,0.994,0.11255592232157459
118,1.0,0.11119997754414354
119,0.998,0.08006856097554163
120,0.997,0.12096391994492019
121,0.991,0.10502765320670963
122,1.001,0.13855263777796015
123,0.998,0.10228437822963479
124,0.99,0.13756083213598236
125,1.0030000000000001,0.1127652106435668
126,0.99,0.12010008327649066
127,0.997,0.14508371316682492
128,1.001,0.11372127280789329
129,0.988,0.10052516125351678
130,0.998,0.0890022755824478
131,1.002,0.11683132116355267
132,1.002,0.09028811619913878
133,0.992,0.10502490588257932
134,0.997,0.07244016453175166
135,0.994,0.12567782195227625
136,0.996,0.11513557836846391
137,0.984,0.13944140173634292
138,1.002,0.10557344195856207
139,0.988,0.18663839117332467
140,0.998,0.10548643735565813
141,0.998,0.09516271604591597
142,0.994,0.09369676482879497
143,0.996,0.10778210447647815
144,0.993,0.09843188367473873
145,0.999,0.09423571871532706
146,0.996,0.08925753298892533
147,0.995,0.09065284275955617
148,1.001,0.0739247598672722
149,0.991,0.16120344368091533
150,1.002,0.11292352318449017
151,1.002,0.08764716221584326
152,0.996,0.09387934432455944
153,0.988,0.0994932986462279
154,0.995,0.10479318272073224
155,0.984,0.15208267704827685
156,0.997,0.0844362921463677
157,1.001,0.08861781422667601
158,0.995,0.10978749505310416
159,0.996,0.07948295295344743
160,0.995,0.08401116805752176
161,0.999,0.10866125367638149
162,0.998,0.11059829303915777
163,0.996,0.06648057491321187
164,1.001,0.10469373965037249
165,0.994,0.10163947545122848
166,0.999,0.13618900669057477
167,1.0,0.10446791151086594
168,0.998,0.09601883216324573
169,0.985,0.17290849611728498
170,0.988,0.1491871152030908
171,0.996,0.0827438168838399
172,1.001,0.07232984201683583
173,1.0,0.11135535964602496
174,0.994,0.08827055467577735
175,1.004,0.09265515851482976
176,0.992,0.12790787143070617
177,0.995,0.1257991425204082
178,0.997,0.09534077956636772
179,0.996,0.1428222309783002
180,0.997,0.09528295341707071
181,0.993,0.10875281927719173
182,0.995,0.0909917023690918
183,0.991,0.21826986264489034
184,0.993,0.10839603233589264
185,0.988,0.11557203915241376
186,0.998,0.09708774991287482
187,0.993,0.11048862226219978
188,1.001,0.1534416190297769
189,0.994,0.10830312735187518
190,1.0,0.08714794558264846
191,0.998,0.09109724103359103
192,1.002,0.10162858893402864
193,0.998,0.11005751082197886
